Total Terms,red,yellow,green,blue,purple,white,black
3,1,1,0,0,0,1,0
5,1,0,0,1,1,1,0
6,1,1,0,0,1,1,0
8,1,1,1,1,1,1,1
10,1,1,1,0,1,1,0
10,1,1,1,1,1,0,0
10,1,1,0,1,1,1,1
11,1,1,1,1,1,1,1
13,1,1,1,1,1,1,0
13,1,1,1,1,1,1,0
13,1,1,1,1,1,1,0
14,1,1,1,1,1,1,0
15,1,1,1,1,1,0,0
15,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1
16,1,1,1,1,1,1,0
17,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
18,1,1,1,1,1,1,0
18,1,1,1,1,1,1,0
19,1,1,1,1,1,1,0
20,1,1,1,1,1,1,0
20,1,1,1,1,1,1,0
20,1,1,1,1,1,1,0
20,1,1,1,1,1,1,0
21,1,1,1,1,1,1,0
21,1,1,1,1,1,1,1
22,1,1,1,1,1,1,0
22,1,1,1,1,1,1,0
23,1,1,1,1,1,1,0
23,1,1,1,1,1,1,0
24,1,1,1,1,1,1,0
24,1,1,1,1,1,1,0
24,1,1,1,1,1,1,0
24,1,1,1,1,1,1,0
25,1,1,1,1,1,1,1
26,1,1,1,1,1,1,0
26,1,1,1,1,1,1,0
27,1,1,1,1,1,1,0
27,1,1,1,1,1,1,0
27,1,1,1,1,1,1,0
27,1,1,1,1,1,1,0
28,1,1,1,1,1,1,0
28,1,1,1,1,1,1,0
29,1,1,1,1,1,1,0
29,1,1,1,1,1,1,0
29,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
30,1,1,1,1,1,1,0
31,1,1,1,1,1,1,0
31,1,1,1,1,1,1,0
31,1,1,1,1,1,1,0
31,1,1,1,1,1,1,0
32,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1
32,1,1,1,1,1,1,0
33,1,1,1,1,1,1,0
34,1,1,1,1,1,1,0
34,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1
34,1,1,1,1,1,1,0
35,1,1,1,1,1,1,0
35,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
35,1,1,1,1,1,1,0
36,1,1,1,1,1,1,0
37,1,1,1,1,1,1,1
37,1,1,1,1,1,1,0
39,1,1,1,1,1,1,0
39,1,1,1,1,1,1,1
39,1,1,1,1,1,1,0
44,1,1,1,1,1,1,1
44,1,1,1,1,1,1,0
45,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1
52,1,1,1,1,1,1,0
52,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1
53,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
56,1,1,1,1,1,1,0
57,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1
64,1,1,1,1,1,1,0
68,1,1,1,1,1,1,0
68,1,1,1,1,1,1,0
69,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1
73,1,1,1,1,1,1,0
74,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1
79,1,1,1,1,1,1,0
79,1,1,1,1,1,1,0
83,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1
